w_cont,w_ref,threshold,n,tp,fp,fn,tn,precision,recall,f1
0.2,0.8,0.1,14328,1568,10,7107,5643,0.9936628643852978,0.1807492795389049,0.30586169901492244
0.2,0.8,0.15000000000000002,14328,1710,34,6965,5619,0.9805045871559633,0.19711815561959653,0.328246472790095
0.2,0.8,0.2,14328,5404,3200,3271,2453,0.6280799628079963,0.6229394812680116,0.6254991608310666
0.2,0.8,0.25,14328,6249,3727,2426,1926,0.6264033680834001,0.7203458213256484,0.6700981180633746
0.2,0.8,0.30000000000000004,14328,6493,4049,2182,1604,0.6159172832479606,0.7484726224783862,0.6757558411822865
0.2,0.8,0.35000000000000003,14328,6644,4238,2031,1415,0.6105495313361514,0.7658789625360231,0.6794498133660581
0.2,0.8,0.4,14328,6748,4363,1927,1290,0.6073260732607326,0.7778674351585014,0.6820984534519358
0.2,0.8,0.45,14328,6807,4469,1868,1184,0.6036715147215325,0.7846685878962536,0.6823718109367951
0.2,0.8,0.5,14328,6879,4612,1796,1041,0.5986424158036724,0.7929682997118156,0.682237429336507
0.2,0.8,0.55,14328,6946,4788,1729,865,0.5919550025566729,0.8006916426512968,0.6806800921162232
0.2,0.8,0.6000000000000001,14328,6997,4890,1678,763,0.5886262303356609,0.8065706051873199,0.680575819472814
0.2,0.8,0.65,14328,7045,4977,1630,676,0.5860089835301946,0.8121037463976946,0.6807749915446684
0.2,0.8,0.7000000000000001,14328,7114,5012,1561,641,0.586673264060696,0.820057636887608,0.6840055766549684
0.2,0.8,0.75,14328,7248,5199,1427,454,0.5823089901181008,0.8355043227665706,0.6862986459615568
0.2,0.8,0.8,14328,7374,5450,1301,203,0.5750155957579538,0.8500288184438041,0.6859853946695195
0.2,0.8,0.8500000000000001,14328,7533,5545,1142,108,0.5760055054289647,0.86835734870317,0.692594124948283
0.2,0.8,0.9,14328,7671,5602,1004,51,0.577940179311384,0.8842651296829971,0.6990158556588298
0.2,0.8,0.9500000000000001,14328,8666,5634,9,19,0.606013986013986,0.9989625360230547,0.7543852013057671
0.3,0.7,0.1,14328,1538,8,7137,5645,0.9948253557567918,0.17729106628242075,0.30094902651403976
0.3,0.7,0.15000000000000002,14328,1569,10,7106,5643,0.993666877770741,0.18086455331412105,0.3060269163253365
0.3,0.7,0.2,14328,1638,17,7037,5636,0.9897280966767371,0.1888184438040346,0.317134559535334
0.3,0.7,0.25,14328,1881,80,6794,5573,0.9592044875063743,0.2168299711815562,0.3537044001504325
0.3,0.7,0.30000000000000004,14328,5524,3255,3151,2398,0.6292288415537077,0.6367723342939481,0.6329781138993927
0.3,0.7,0.35000000000000003,14328,6337,3817,2338,1836,0.6240890289541068,0.7304899135446686,0.673110627223963
0.3,0.7,0.4,14328,6558,4115,2117,1538,0.6144476716949311,0.7559654178674352,0.6778995244986562
0.3,0.7,0.45,14328,6705,4330,1970,1323,0.6076121431807884,0.7729106628242075,0.680365296803653
0.3,0.7,0.5,14328,6797,4413,1878,1240,0.6063336306868867,0.7835158501440922,0.6836308775458888
0.3,0.7,0.55,14328,6870,4561,1805,1092,0.6009972880762838,0.7919308357348703,0.6833780960907192
0.3,0.7,0.6000000000000001,14328,6949,4774,1726,879,0.5927663567346242,0.8010374639769452,0.6813413079713696
0.3,0.7,0.65,14328,7018,4896,1657,757,0.5890548934027194,0.8089913544668588,0.6817232502792754
0.3,0.7,0.7000000000000001,14328,7118,4984,1557,669,0.5881672450834573,0.8205187319884726,0.6851807286903788
0.3,0.7,0.75,14328,7205,5031,1470,622,0.5888362209872507,0.8305475504322767,0.6891109942135718
0.3,0.7,0.8,14328,7338,5353,1337,300,0.578205027184619,0.845878962536023,0.6868857062622858
0.3,0.7,0.8500000000000001,14328,7470,5510,1205,143,0.5755007704160247,0.8610951008645533,0.6899099515123528
0.3,0.7,0.9,14328,7633,5595,1042,58,0.577033565164802,0.8798847262247839,0.6969821485641238
0.3,0.7,0.9500000000000001,14328,8454,5628,221,25,0.6003408606731998,0.9745244956772334,0.7429801819220461
0.4,0.6,0.1,14328,1526,7,7149,5646,0.9954337899543378,0.1759077809798271,0.2989811912225705
0.4,0.6,0.15000000000000002,14328,1541,9,7134,5644,0.9941935483870967,0.17763688760806917,0.3014180929095355
0.4,0.6,0.2,14328,1571,10,7104,5643,0.9936748893105629,0.18109510086455333,0.3063572542901716
0.4,0.6,0.25,14328,1619,13,7056,5640,0.9920343137254902,0.18662824207492795,0.31415542834966526
0.4,0.6,0.30000000000000004,14328,1719,37,6956,5616,0.9789293849658315,0.1981556195965418,0.32959447799827435
0.4,0.6,0.35000000000000003,14328,2090,149,6585,5504,0.9334524341223761,0.24092219020172911,0.38299431922301636
0.4,0.6,0.4,14328,5642,3350,3033,2303,0.6274466192170819,0.6503746397694524,0.6387049300956587
0.4,0.6,0.45,14328,6423,3897,2252,1756,0.6223837209302325,0.7404034582132565,0.6762832324295868
0.4,0.6,0.5,14328,6653,4201,2022,1452,0.6129537497696702,0.7669164265129683,0.6813456910236059
0.4,0.6,0.55,14328,6781,4376,1894,1277,0.6077798691404499,0.781671469740634,0.6838442920532473
0.4,0.6,0.6000000000000001,14328,6901,4511,1774,1142,0.604714335786891,0.7955043227665706,0.6871110668591626
0.4,0.6,0.65,14328,7005,4768,1670,885,0.5950055211076192,0.807492795389049,0.6851525821596245
0.4,0.6,0.7000000000000001,14328,7064,4900,1611,753,0.5904379806084922,0.8142939481268011,0.6845292892097485
0.4,0.6,0.75,14328,7149,4994,1526,659,0.5887342501852919,0.8240922190201729,0.6868094917859544
0.4,0.6,0.8,14328,7279,5086,1396,567,0.5886777193691872,0.8390778097982708,0.6919201520912547
0.4,0.6,0.8500000000000001,14328,7414,5458,1261,195,0.5759788688626476,0.8546397694524496,0.6881700468742749
0.4,0.6,0.9,14328,7590,5572,1085,81,0.576660082054399,0.8749279538904899,0.6951504327517516
0.4,0.6,0.9500000000000001,14328,7794,5623,881,30,0.5809048222404413,0.8984438040345821,0.7055947854426942
0.5,0.5,0.1,14328,1524,6,7151,5647,0.996078431372549,0.1756772334293948,0.2986771190592847
0.5,0.5,0.15000000000000002,14328,1531,8,7144,5645,0.9948018193632229,0.17648414985590777,0.29978460935970236
0.5,0.5,0.2,14328,1547,9,7128,5644,0.9942159383033419,0.17832853025936599,0.30241423125794153
0.5,0.5,0.25,14328,1572,12,7103,5641,0.9924242424242424,0.18121037463976944,0.30646261818890724
0.5,0.5,0.30000000000000004,14328,1607,16,7068,5637,0.9901417128773875,0.1852449567723343,0.31209943678384156
0.5,0.5,0.35000000000000003,14328,1666,29,7009,5624,0.9828908554572271,0.19204610951008647,0.32131147540983607
0.5,0.5,0.4,14328,1813,58,6862,5595,0.9690005344735435,0.2089913544668588,0.34382704342878817
