frame_idx,sam2_label,gt_bird_id,iou,is_error,iou_threshold
159,3,38,0.0,1,0.5
160,2,113,0.7193,0,0.5
160,4,14,0.6635,0,0.5
160,1,75,0.2393,1,0.5
160,3,38,0.0,1,0.5
161,2,113,0.7219,0,0.5
161,4,14,0.6499,0,0.5
161,1,75,0.3453,1,0.5
161,3,38,0.0,1,0.5
162,2,113,0.7325,0,0.5
162,4,14,0.6219,0,0.5
162,1,75,0.1801,1,0.5
162,3,38,0.0,1,0.5
163,2,113,0.7268,0,0.5
163,4,14,0.5138,0,0.5
163,1,75,0.3132,1,0.5
163,3,38,0.0,1,0.5
164,2,113,0.7154,0,0.5
164,4,14,0.579,0,0.5
164,1,75,0.3516,1,0.5
164,3,38,0.0,1,0.5
165,2,113,0.7117,0,0.5
165,4,14,0.6254,0,0.5
165,1,75,0.4015,1,0.5
165,3,38,0.0,1,0.5
166,2,113,0.7187,0,0.5
166,4,14,0.6729,0,0.5
166,1,75,0.3638,1,0.5
166,3,38,0.0,1,0.5
167,2,113,0.7171,0,0.5
167,4,14,0.6658,0,0.5
167,1,75,0.3447,1,0.5
167,3,38,0.0,1,0.5
168,2,113,0.7198,0,0.5
168,4,14,0.5973,0,0.5
168,1,75,0.3561,1,0.5
168,3,38,0.0,1,0.5
169,2,113,0.736,0,0.5
169,4,14,0.5802,0,0.5
169,1,75,0.2925,1,0.5
169,3,38,0.0,1,0.5
170,2,113,0.7614,0,0.5
170,4,14,0.6653,0,0.5
170,1,75,0.4157,1,0.5
170,3,38,0.0,1,0.5
171,2,113,0.7639,0,0.5
171,4,14,0.6451,0,0.5
171,1,75,0.3186,1,0.5
171,3,38,0.0,1,0.5
172,2,113,0.7813,0,0.5
172,4,14,0.5745,0,0.5
172,1,75,0.2119,1,0.5
172,3,38,0.0,1,0.5
173,2,113,0.7852,0,0.5
173,4,14,0.6136,0,0.5
173,1,75,0.2632,1,0.5
173,3,38,0.0,1,0.5
174,2,113,0.7829,0,0.5
174,4,14,0.6235,0,0.5
174,1,75,0.323,1,0.5
174,3,38,0.0,1,0.5
175,2,113,0.7882,0,0.5
175,4,14,0.6316,0,0.5
175,1,75,0.3216,1,0.5
175,3,38,0.0,1,0.5
176,2,113,0.7874,0,0.5
176,4,14,0.6119,0,0.5
176,1,75,0.2435,1,0.5
176,3,38,0.0,1,0.5
177,2,113,0.7679,0,0.5
177,4,14,0.5989,0,0.5
177,1,75,0.0252,1,0.5
177,3,38,0.003,1,0.5
178,2,113,0.753,0,0.5
178,4,14,0.5885,0,0.5
178,1,75,0.0199,1,0.5
178,3,38,0.0084,1,0.5
179,2,113,0.7444,0,0.5
179,4,14,0.5636,0,0.5
179,1,75,0.0209,1,0.5
179,3,38,0.0142,1,0.5
180,2,113,0.727,0,0.5
180,4,14,0.5773,0,0.5
180,3,38,0.0304,1,0.5
180,1,75,0.0195,1,0.5
181,2,113,0.7308,0,0.5
181,4,14,0.5814,0,0.5
181,3,38,0.0459,1,0.5
181,1,75,0.0298,1,0.5
182,2,113,0.7253,0,0.5
182,4,14,0.5591,0,0.5
182,3,38,0.0562,1,0.5
182,1,75,0.0167,1,0.5
183,2,113,0.7211,0,0.5
183,4,14,0.4953,1,0.5
183,3,38,0.0609,1,0.5
183,1,75,0.0132,1,0.5
184,2,113,0.7129,0,0.5
184,4,14,0.4904,1,0.5
184,3,38,0.0724,1,0.5
184,1,75,0.0219,1,0.5
185,2,113,0.6951,0,0.5
185,4,14,0.5025,0,0.5
185,3,38,0.0681,1,0.5
185,1,75,0.0106,1,0.5
186,2,113,0.6567,0,0.5
186,4,14,0.4776,1,0.5
186,3,38,0.0661,1,0.5
186,1,75,0.0236,1,0.5
187,2,113,0.6378,0,0.5
187,4,14,0.475,1,0.5
187,3,38,0.0586,1,0.5
187,1,75,0.019,1,0.5
188,2,113,0.6404,0,0.5
188,4,14,0.474,1,0.5
188,3,38,0.0556,1,0.5
188,1,75,0.0155,1,0.5
189,2,113,0.6563,0,0.5
189,4,14,0.4632,1,0.5
189,3,38,0.042,1,0.5
189,1,75,0.014,1,0.5
190,2,113,0.6629,0,0.5
190,4,14,0.4527,1,0.5
190,3,38,0.0319,1,0.5
190,1,75,0.0085,1,0.5
191,2,113,0.6757,0,0.5
191,4,14,0.4559,1,0.5
191,3,38,0.0241,1,0.5
191,1,75,0.0021,1,0.5
192,2,113,0.6704,0,0.5
192,4,14,0.466,1,0.5
192,1,75,0.0971,1,0.5
192,3,38,0.0278,1,0.5
193,4,14,0.7776,0,0.5
193,2,113,0.6654,0,0.5
193,1,75,0.4602,1,0.5
193,3,38,0.0361,1,0.5
194,4,14,0.771,0,0.5
194,2,113,0.6678,0,0.5
194,1,75,0.44,1,0.5
194,3,38,0.0449,1,0.5
195,4,14,0.7826,0,0.5
195,2,113,0.6757,0,0.5
195,1,75,0.4794,1,0.5
195,3,38,0.0558,1,0.5
196,4,14,0.7694,0,0.5
196,2,113,0.6906,0,0.5
196,1,75,0.4751,1,0.5
196,3,38,0.072,1,0.5
197,4,14,0.8553,0,0.5
