block_id,gt_id,start,end,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
2,75,1575,1599,25,25,0,0.0,0,0.0,0.15799449573158145
2,113,1575,1599,25,25,0,0.0,0,0.0,0.15783967494489198
2,14,1600,1624,25,25,0,0.0,0,0.0,0.2955218996519375
2,38,1600,1624,25,25,0,0.0,0,0.0,0.07487473171103552
2,75,1600,1624,25,25,0,0.0,0,0.0,0.11223668476766249
2,113,1600,1624,17,17,0,0.0,0,0.0,0.1533371893285317
2,14,1625,1649,24,24,0,0.0,0,0.0,0.33991849892307063
2,38,1625,1649,25,25,0,0.0,0,0.0,0.08470776794943007
2,75,1625,1649,25,25,0,0.0,0,0.0,0.13627118056006413
2,113,1625,1649,21,21,0,0.0,0,0.0,0.16107855792903664
2,14,1650,1674,24,24,0,0.0,0,0.0,0.2804281890439907
2,38,1650,1674,25,25,0,0.0,0,0.0,0.08144847836477234
2,75,1650,1674,25,25,0,0.0,0,0.0,0.1531132741252944
2,113,1650,1674,22,22,0,0.0,0,0.0,0.14650047778547431
2,14,1675,1699,24,24,0,0.0,0,0.0,0.2581097796657553
2,38,1675,1699,25,25,0,0.0,0,0.0,0.10913586852468012
2,75,1675,1699,25,25,0,0.0,0,0.0,0.08132919476929035
2,113,1675,1699,25,25,0,0.0,0,0.0,0.14250901094168614
2,14,1700,1724,21,21,0,0.0,0,0.0,0.23980459215275587
2,38,1700,1724,25,25,0,0.0,0,0.0,0.09766114763736358
2,75,1700,1724,25,25,0,0.0,0,0.0,0.10216150838669698
2,113,1700,1724,23,23,0,0.0,0,0.0,0.11688890130617828
2,14,1725,1749,22,22,0,0.0,0,0.0,0.21166551218545226
2,38,1725,1749,25,25,0,0.0,0,0.0,0.12075900806288754
2,75,1725,1749,25,25,0,0.0,0,0.0,0.10315853883400788
2,113,1725,1749,19,19,0,0.0,0,0.0,0.20133855065626635
2,14,1750,1774,24,24,0,0.0,0,0.0,0.11683962442015335
2,38,1750,1774,24,24,0,0.0,0,0.0,0.07094042657866438
2,75,1750,1774,25,25,0,0.0,0,0.0,0.07050136047515526
2,113,1750,1774,21,21,0,0.0,0,0.0,0.12728169403862516
2,14,1775,1799,24,24,0,0.0,0,0.0,0.20837021826484672
2,38,1775,1799,25,25,0,0.0,0,0.0,0.09943927444523293
2,75,1775,1799,25,25,0,0.0,0,0.0,0.08826705804886746
2,113,1775,1799,23,23,0,0.0,0,0.0,0.1760707326861686
2,14,1800,1824,25,25,0,0.0,0,0.0,0.21783084236936975
2,38,1800,1824,23,23,0,0.0,0,0.0,0.08661587044523346
2,75,1800,1824,25,25,0,0.0,0,0.0,0.10611139645553636
2,113,1800,1824,10,10,0,0.0,0,0.0,0.1504458061260806
