video_frame,gt_frame,gt_id,reason,detail
2253,2241,113,small_disconnected_regions,
2265,2253,113,small_disconnected_regions,
2267,2255,113,small_disconnected_regions,
2271,2259,38,small_disconnected_regions,
2272,2260,38,small_disconnected_regions,
2274,2262,113,small_disconnected_regions,
2274,2262,113,source_correspondence_uncertain,
2278,2266,113,small_disconnected_regions,
2278,2266,113,source_correspondence_uncertain,
2279,2267,38,small_disconnected_regions,
2279,2267,113,small_disconnected_regions,
2281,2269,113,small_disconnected_regions,
2281,2269,113,source_correspondence_uncertain,
2283,2271,38,small_disconnected_regions,
2283,2271,113,multiple_substantial_regions,
2283,2271,113,source_correspondence_uncertain,
2283,2271,113,centroid_jump,
2284,2272,113,centroid_jump,
2297,2285,38,small_disconnected_regions,
2302,2290,113,multiple_substantial_regions,
2302,2290,113,centroid_jump,
2303,2291,113,multiple_substantial_regions,
2304,2292,38,small_disconnected_regions,
2304,2292,113,multiple_substantial_regions,
2304,2292,113,source_correspondence_uncertain,
2305,2293,38,small_disconnected_regions,
2305,2293,113,multiple_substantial_regions,
2306,2294,38,small_disconnected_regions,
2306,2294,113,multiple_substantial_regions,
2307,2295,38,small_disconnected_regions,
2307,2295,113,multiple_substantial_regions,
2308,2296,38,small_disconnected_regions,
2308,2296,113,multiple_substantial_regions,
2309,2297,38,small_disconnected_regions,
2309,2297,113,small_disconnected_regions,
2310,2298,38,small_disconnected_regions,
2310,2298,113,multiple_substantial_regions,
2311,2299,113,multiple_substantial_regions,
2312,2300,113,centroid_jump,
2321,2309,14,small_disconnected_regions,
2322,2310,14,small_disconnected_regions,
2329,2317,14,small_disconnected_regions,
2333,2321,38,small_disconnected_regions,
2343,2331,75,small_disconnected_regions,
2344,2332,38,small_disconnected_regions,
2344,2332,75,small_disconnected_regions,
2345,2333,14,tiny_target_region,
2345,2333,38,small_disconnected_regions,
2345,2333,75,small_disconnected_regions,
2346,2334,38,small_disconnected_regions,
2350,2338,75,small_disconnected_regions,
