abs_frame,sam2_label,gt_id,block_id,direction,foreground_logit_score
578,4,113,0,later,0.9865626096725464
579,1,14,0,later,0.977727472782135
579,2,38,0,later,
579,3,75,0,later,0.9865241646766663
579,4,113,0,later,0.9888250827789307
580,1,14,0,later,0.9764643311500549
580,2,38,0,later,
580,3,75,0,later,0.9865637421607971
580,4,113,0,later,0.9847913980484009
581,1,14,0,later,0.977218747138977
581,2,38,0,later,
581,3,75,0,later,0.9870787262916565
581,4,113,0,later,0.9884551167488098
582,1,14,0,later,0.9814966917037964
582,2,38,0,later,
582,3,75,0,later,0.9878645539283752
582,4,113,0,later,0.9870922565460205
583,1,14,0,later,0.9865924715995789
583,2,38,0,later,
583,3,75,0,later,0.9876681566238403
583,4,113,0,later,0.9884461760520935
584,1,14,0,later,0.9836745858192444
584,2,38,0,later,
584,3,75,0,later,0.9863824844360352
584,4,113,0,later,0.9887184500694275
585,1,14,0,later,0.9864881038665771
585,2,38,0,later,
585,3,75,0,later,0.988252580165863
585,4,113,0,later,0.988983154296875
586,1,14,0,later,0.9877530336380005
586,2,38,0,later,
586,3,75,0,later,0.9868533611297607
586,4,113,0,later,0.9873270392417908
587,1,14,0,later,0.9897127747535706
587,2,38,0,later,
587,3,75,0,later,0.9851163029670715
587,4,113,0,later,0.9881079792976379
588,1,14,0,later,0.9880927801132202
588,2,38,0,later,
588,3,75,0,later,0.9882360100746155
588,4,113,0,later,0.9859748482704163
589,1,14,0,later,0.9883396029472351
589,2,38,0,later,
589,3,75,0,later,0.98614102602005
589,4,113,0,later,0.9882555603981018
590,1,14,0,later,0.9889430999755859
590,2,38,0,later,
590,3,75,0,later,0.9859341979026794
590,4,113,0,later,0.9868348240852356
591,1,14,0,later,0.9892315864562988
591,2,38,0,later,
591,3,75,0,later,0.9794300198554993
591,4,113,0,later,0.9894574284553528
592,1,14,0,later,0.9893414378166199
592,2,38,0,later,
592,3,75,0,later,0.9793152213096619
592,4,113,0,later,0.9872379302978516
593,1,14,0,later,0.9899318814277649
593,2,38,0,later,
593,3,75,0,later,0.9790811538696289
593,4,113,0,later,0.9882945418357849
594,1,14,0,later,0.9882543683052063
594,2,38,0,later,
594,3,75,0,later,0.9810803532600403
594,4,113,0,later,0.989897608757019
595,1,14,0,later,0.987447202205658
595,2,38,0,later,
595,3,75,0,later,0.9750814437866211
595,4,113,0,later,0.9892982244491577
596,1,14,0,later,0.9845060706138611
596,2,38,0,later,
596,3,75,0,later,0.9744398593902588
596,4,113,0,later,0.9896406531333923
597,1,14,0,later,0.9834190607070923
597,2,38,0,later,
597,3,75,0,later,0.9782868027687073
597,4,113,0,later,0.9890602231025696
598,1,14,0,later,0.9877089858055115
598,2,38,0,later,
598,3,75,0,later,0.9766396284103394
598,4,113,0,later,0.9879682064056396
599,1,14,0,later,0.9777173399925232
599,2,38,0,later,
599,3,75,0,later,0.9767616987228394
599,4,113,0,later,0.9878827333450317
600,1,14,0,later,0.9814391732215881
600,2,38,0,later,
600,3,75,0,later,0.9782594442367554
600,4,113,0,later,0.9865578413009644
601,1,14,0,later,0.9840964674949646
601,2,38,0,later,
601,3,75,0,later,0.9787777662277222
601,4,113,0,later,0.9877293109893799
602,1,14,0,later,0.9841434955596924
602,2,38,0,later,
602,3,75,0,later,0.9806864261627197
602,4,113,0,later,0.9884431958198547
603,1,14,0,later,0.985005795955658
603,2,38,0,later,
603,3,75,0,later,0.9819753766059875
603,4,113,0,later,0.9878728985786438
604,1,14,0,later,0.9833081364631653
604,2,38,0,later,
604,3,75,0,later,0.982643187046051
604,4,113,0,later,0.9886025786399841
605,1,14,0,later,0.984684407711029
605,2,38,0,later,
605,3,75,0,later,0.9817310571670532
605,4,113,0,later,0.9903484582901001
606,1,14,0,later,0.9833052158355713
606,2,38,0,later,
606,3,75,0,later,0.9878994822502136
606,4,113,0,later,0.9891780018806458
607,1,14,0,later,0.9840368628501892
607,2,38,0,later,
607,3,75,0,later,0.9857348799705505
607,4,113,0,later,0.9898777604103088
608,1,14,0,later,0.9815697073936462
608,2,38,0,later,
608,3,75,0,later,0.9833101034164429
608,4,113,0,later,0.9906900525093079
609,1,14,0,later,0.9822232723236084
609,2,38,0,later,
609,3,75,0,later,0.9840322136878967
609,4,113,0,later,0.9915096759796143
610,1,14,0,later,0.9816718101501465
610,2,38,0,later,
610,3,75,0,later,0.983983039855957
610,4,113,0,later,0.9923022985458374
611,1,14,0,later,0.9825311899185181
611,2,38,0,later,
611,3,75,0,later,0.9838207960128784
611,4,113,0,later,0.9906309247016907
612,1,14,0,later,0.9828605651855469
612,2,38,0,later,
612,3,75,0,later,0.9848946928977966
612,4,113,0,later,0.9907940626144409
613,1,14,0,later,0.9832035303115845
613,2,38,0,later,
613,3,75,0,later,0.9848530888557434
613,4,113,0,later,0.9886256456375122
614,1,14,0,later,0.9831699728965759
614,2,38,0,later,
614,3,75,0,later,0.9828725457191467
614,4,113,0,later,0.9917194843292236
615,1,14,0,later,0.9808116555213928
615,2,38,0,later,
615,3,75,0,later,0.9843593835830688
615,4,113,0,later,0.9896243810653687
616,1,14,0,later,0.9830423593521118
616,2,38,0,later,
616,3,75,0,later,0.9830976128578186
616,4,113,0,later,0.9883236289024353
617,1,14,0,later,0.9775859713554382
617,2,38,0,later,
617,3,75,0,later,0.9847044348716736
617,4,113,0,later,0.989991307258606
618,1,14,0,later,0.9804219603538513
618,2,38,0,later,
618,3,75,0,later,0.9821491241455078
618,4,113,0,later,0.987957775592804
619,1,14,0,later,0.9818846583366394
619,2,38,0,later,
619,3,75,0,later,0.9756787419319153
619,4,113,0,later,0.9841917753219604
620,1,14,0,later,0.9755089282989502
620,2,38,0,later,
620,3,75,0,later,0.9722973704338074
620,4,113,0,later,0.984559178352356
621,1,14,0,later,0.9748848080635071
621,2,38,0,later,
621,3,75,0,later,0.9740720391273499
621,4,113,0,later,0.9762453436851501
622,1,14,0,later,0.9741706848144531
622,2,38,0,later,
622,3,75,0,later,0.9747569561004639
622,4,113,0,later,0.9771074652671814
623,1,14,0,later,0.9746101498603821
623,2,38,0,later,
623,3,75,0,later,0.9772925972938538
623,4,113,0,later,0.9786461591720581
624,1,14,0,later,0.9759268164634705
624,2,38,0,later,
624,3,75,0,later,0.9788784384727478
624,4,113,0,later,0.9801124334335327
625,1,14,0,later,0.9764740467071533
625,2,38,0,later,
625,3,75,0,later,0.9762254953384399
625,4,113,0,later,0.9764338731765747
626,1,14,0,later,0.9780357480049133
626,2,38,0,later,
626,3,75,0,later,0.9829018712043762
626,4,113,0,later,0.9773056507110596
627,1,14,0,later,0.9781747460365295
627,2,38,0,later,
627,3,75,0,later,0.9820801615715027
627,4,113,0,later,0.971186101436615
628,1,14,0,later,0.9784296154975891
628,2,38,0,later,
628,3,75,0,later,0.9835468530654907
628,4,113,0,later,0.9699724912643433
629,1,14,0,later,0.972216784954071
629,2,38,0,later,
629,3,75,0,later,0.9815545082092285
629,4,113,0,later,0.9653161764144897
630,1,14,0,later,0.9811503887176514
630,2,38,0,later,
630,3,75,0,later,0.9808085560798645
630,4,113,0,later,0.9671283960342407
631,1,14,0,later,0.983841061592102
631,2,38,0,later,0.9508810639381409
631,3,75,0,later,0.978265643119812
631,4,113,0,later,0.9747829437255859
632,1,14,0,later,0.9845483303070068
632,2,38,0,later,
632,3,75,0,later,0.9817781448364258
632,4,113,0,later,0.9730525612831116
633,1,14,0,later,0.98532634973526
633,2,38,0,later,0.9560208320617676
633,3,75,0,later,0.9838042259216309
633,4,113,0,later,0.9742258787155151
634,1,14,0,later,0.9842330813407898
634,2,38,0,later,0.942597508430481
634,3,75,0,later,0.9826372265815735
634,4,113,0,later,0.9810256361961365
635,1,14,0,later,0.9845014214515686
635,2,38,0,later,0.973395049571991
635,3,75,0,later,0.9802325367927551
635,4,113,0,later,0.9858447313308716
636,1,14,0,later,0.987136960029602
636,2,38,0,later,0.983245313167572
636,3,75,0,later,0.9807857275009155
636,4,113,0,later,0.987656831741333
637,1,14,0,later,0.9865520596504211
637,2,38,0,later,0.9675890803337097
637,3,75,0,later,0.9839447140693665
