event_id,gt_id,reason,start,end,length,decision,notes
GT00372,57,unexpected_label,1973,1993,21,unreviewed,
GT00373,59,unexpected_label,1973,1993,21,unreviewed,
GT00374,17,unexpected_label,630,649,20,unreviewed,
GT00375,15,unexpected_label,1992,2011,20,unreviewed,
GT00376,15,unexpected_label,674,692,19,unreviewed,
GT00377,18,unexpected_label,674,692,19,unreviewed,
GT00378,25,unexpected_label,674,692,19,unreviewed,
GT00379,41,unexpected_label,674,692,19,unreviewed,
GT00380,48,unexpected_label,674,692,19,unreviewed,
GT00381,60,unexpected_label,674,692,19,unreviewed,
GT00382,71,unexpected_label,674,692,19,unreviewed,
GT00383,22,unexpected_label,1532,1550,19,unreviewed,
GT00384,45,unexpected_label,1532,1550,19,unreviewed,
GT00385,15,unexpected_label,1615,1633,19,unreviewed,
GT00386,15,unexpected_label,1944,1962,19,unreviewed,
GT00387,2,unexpected_label,632,649,18,unreviewed,
GT00388,29,unexpected_label,632,649,18,unreviewed,
GT00389,31,unexpected_label,632,649,18,unreviewed,
GT00390,36,unexpected_label,632,649,18,unreviewed,
GT00391,9,unexpected_label,632,649,18,unreviewed,
GT00392,15,unexpected_label,1845,1862,18,unreviewed,
GT00393,1,unexpected_label,2396,2413,18,unreviewed,
GT00394,11,unexpected_label,2396,2413,18,unreviewed,
GT00395,13,unexpected_label,2396,2413,18,unreviewed,
GT00396,3,unexpected_label,2396,2413,18,unreviewed,
GT00397,4,unexpected_label,2396,2413,18,unreviewed,
GT00398,6,unexpected_label,2396,2413,18,unreviewed,
GT00399,8,unexpected_label,2396,2413,18,unreviewed,
GT00400,19,unexpected_label,3078,3095,18,unreviewed,
GT00401,33,unexpected_label,3078,3095,18,unreviewed,
GT00402,42,unexpected_label,3078,3095,18,unreviewed,
GT00403,5,unexpected_label,3078,3095,18,unreviewed,
GT00404,56,unexpected_label,3078,3095,18,unreviewed,
GT00405,61,unexpected_label,3078,3095,18,unreviewed,
GT00406,70,unexpected_label,3078,3095,18,unreviewed,
GT00407,46,unexpected_label,1530,1546,17,unreviewed,
GT00408,15,unexpected_label,1881,1897,17,unreviewed,
GT00409,57,unexpected_label,1955,1971,17,unreviewed,
GT00410,59,unexpected_label,1955,1971,17,unreviewed,
GT00411,25,unexpected_label,618,633,16,unreviewed,
GT00412,32,unexpected_label,618,633,16,unreviewed,
GT00413,67,unexpected_label,618,633,16,unreviewed,
GT00414,111,unexpected_label,771,786,16,unreviewed,
GT00415,77,unexpected_label,771,786,16,unreviewed,
GT00416,82,unexpected_label,771,786,16,unreviewed,
GT00417,96,unexpected_label,771,786,16,unreviewed,
GT00418,39,unexpected_label,900,915,16,unreviewed,
GT00419,88,unexpected_label,900,915,16,unreviewed,
GT00420,24,unexpected_label,1944,1959,16,unreviewed,
GT00421,1,unexpected_label,2989,3004,16,unreviewed,
GT00422,11,unexpected_label,2989,3004,16,unreviewed,
GT00423,13,unexpected_label,2989,3004,16,unreviewed,
GT00424,3,unexpected_label,2989,3004,16,unreviewed,
GT00425,4,unexpected_label,2989,3004,16,unreviewed,
GT00426,6,unexpected_label,2989,3004,16,unreviewed,
GT00427,8,unexpected_label,2989,3004,16,unreviewed,
GT00428,24,unexpected_label,163,177,15,unreviewed,
GT00429,46,unexpected_label,163,177,15,unreviewed,
GT00430,104,unexpected_label,772,786,15,unreviewed,
GT00431,59,unexpected_label,782,796,15,unreviewed,
GT00432,107,unexpected_label,901,915,15,unreviewed,
GT00433,20,unexpected_label,901,915,15,unreviewed,
GT00434,57,unexpected_label,901,915,15,unreviewed,
GT00435,94,unexpected_label,901,915,15,unreviewed,
GT00436,15,unexpected_label,1232,1246,15,unreviewed,
GT00437,46,unexpected_label,1232,1246,15,unreviewed,
GT00438,15,unexpected_label,1597,1611,15,unreviewed,
GT00439,24,unexpected_label,1997,2011,15,unreviewed,
GT00440,46,unexpected_label,1997,2011,15,unreviewed,
GT00441,27,unexpected_label,2004,2018,15,unreviewed,
GT00442,57,unexpected_label,2004,2018,15,unreviewed,
GT00443,59,unexpected_label,2004,2018,15,unreviewed,
GT00444,15,unexpected_label,793,806,14,unreviewed,
GT00445,103,unexpected_label,807,820,14,unreviewed,
GT00446,84,unexpected_label,807,820,14,unreviewed,
GT00447,15,unexpected_label,1248,1261,14,unreviewed,
GT00448,103,unexpected_label,262,274,13,unreviewed,
GT00449,111,unexpected_label,262,274,13,unreviewed,
GT00450,77,unexpected_label,262,274,13,unreviewed,
GT00451,82,unexpected_label,262,274,13,unreviewed,
GT00452,84,unexpected_label,262,274,13,unreviewed,
GT00453,96,unexpected_label,262,274,13,unreviewed,
GT00454,25,unexpected_label,567,579,13,unreviewed,
GT00455,32,unexpected_label,567,579,13,unreviewed,
GT00456,67,unexpected_label,567,579,13,unreviewed,
